(month 1-5/2007)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<GOLD>,<CLOSE>
751.0400,751.0400,741.2700,751.7700,3845510,640.1000,741.2700
745.1300,757.7100,745.1300,741.2700,4485494,627.1000,757.7100
784.4500,788.8200,784.4500,757.7100,5532130,621.9000,788.8200
818.0400,818.5100,818.0400,788.8200,8131454,606.4400,818.5100
840.2200,840.2200,825.1100,818.5100,8911220,609.6000,825.1100
845.2600,845.2600,840.8900,825.1100,7215300,613.2800,844.9100
864.7500,866.7200,864.7500,844.9100,6498406,611.0000,865.7100
886.8300,886.8300,885.4300,865.7100,7384220,611.2000,885.4300
914.4100,914.7900,913.6800,885.4300,8241280,625.7800,914.7900
941.7300,947.1500,941.7300,914.7900,6648105,626.2800,947.1500
985.5300,985.5300,983.5000,947.1500,7366000,624.4000,983.6000
1012.7000,1012.7000,964.9600,983.6000,9662210,631.5000,964.9600
946.8400,983.0900,946.8400,964.9600,10160510,627.2800,983.0900
1024.0000,1024.0000,1022.9700,983.0900,7166700,635.1200,1023.0500
1044.2600,1044.2600,1027.7000,1023.0500,8740950,633.0000,1027.7000
1040.0601,1040.7000,1039.6100,1027.7000,6277740,646.2800,1040.7000
1049.8199,1049.8199,1016.3900,1040.7000,6940113,648.3800,1016.3900
991.6500,991.6500,988.8600,1016.3900,8952240,645.6500,988.8600
966.6000,974.7600,966.6000,988.8600,10117330,645.8300,974.7600
976.5100,995.5500,976.5100,974.7600,7385420,643.2000,995.5500
1021.2900,1023.9700,1021.2900,995.5500,7876780,646.7500,1022.4000
1044.0699,1044.0699,1041.3300,1022.4000,8409090,652.4500,1041.3300
1066.3300,1066.3300,1049.3199,1041.3300,12837980,656.8000,1049.3199
1074.5500,1074.5500,1074.5500,1049.3199,7615140,647.5000,1074.5500
1091.0200,1091.0200,1058.7100,1074.5500,11141580,648.0500,1058.7100
1058.5699,1091.3800,1058.5699,1058.7100,7724800,653.1000,1091.3800
1084.3300,1095.7500,1083.9900,1091.3800,7973010,651.0000,1095.7500
1058.7400,1058.7400,1052.8600,1095.7500,6949250,660.0000,1052.8600
1010.9700,1030.9000,1010.3800,1052.8600,8108290,666.4000,1030.9000
1041.4301,1054.2600,1041.4301,1030.9000,8067800,660.7000,1054.2600
1081.7900,1081.7900,1074.0601,1054.2600,6893620,663.8500,1074.4600
1077.9800,1077.9800,1073.1899,1074.4600,6411450,668.6500,1073.1899
1071.5000,1083.2500,1071.5000,1073.1899,6311500,669.2500,1083.2500
