(month 1->07/2007 va 10-12/2007) + (month 1->08/2008)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<CLOSE>
115.2367,115.2367,112.9320,115.2367,110889,113.7002
115.2367,116.0049,114.0843,113.7002,67210,114.8526
118.3097,119.0779,115.2367,114.8526,103740,119.0779
119.8462,122.9191,119.0779,119.0779,104780,120.9985
120.6144,122.9191,116.7732,120.9985,82030,120.2303
120.6144,121.3827,118.3097,120.2303,63569,119.8462
120.7692,123.0769,120.7692,119.8462,101140,122.3077
123.0769,123.0769,120.0000,122.3077,114139,123.0769
126.9231,126.9231,121.5385,123.0769,91390,124.6154
123.0769,125.3846,123.0769,124.6154,58629,125.3846
125.3846,126.9231,124.6154,125.3846,157040,126.5385
128.4615,132.3077,123.8462,126.5385,393900,125.3846
126.5385,130.0000,125.7692,125.3846,138060,130.0000
131.5385,138.4615,129.2308,130.0000,128699,136.5385
137.3077,142.3077,133.8462,136.5385,178750,141.5385
150.2308,150.2308,138.4615,141.5385,109719,149.2308
149.2308,160.5385,134.6154,149.2308,160290,155.3846
160.0000,161.5385,141.2308,155.3846,68120,149.2308
147.6923,149.2308,137.8462,149.2308,73970,146.9231
143.8462,146.8462,139.2308,146.9231,52390,146.3077
150.7692,153.4615,146.1539,146.3077,56159,150.7692
153.8462,153.8462,150.7692,150.7692,52390,151.8462
154.6154,159.2308,147.6923,151.8462,83590,150.0000
161.5385,161.5385,148.4615,150.0000,33150,149.6154
152.3077,152.3077,147.6923,149.6154,49660,148.0769
146.1539,150.0000,146.1539,148.0769,77350,148.8462
149.2308,161.5385,148.4615,148.8462,98020,151.5385
152.3077,153.8462,149.2308,151.5385,170040,149.8462
150.7692,153.0769,148.4615,149.8462,99060,149.9231
150.3846,151.5385,149.6154,149.9231,162890,150.0000
151.5385,153.0769,150.7692,150.0000,119079,153.0769
153.0769,161.5385,153.0769,153.0769,108159,160.7692
160.0000,165.3846,160.0000,160.7692,121289,165.0000
165.3846,179.5385,165.3846,165.0000,247649,179.5385
180.7692,196.1539,180.7692,179.5385,119989,193.8462
213.4615,213.4615,182.3077,193.8462,75400,190.7692
196.1539,196.1539,186.1539,190.7692,124669,190.0000
207.6923,207.6923,171.6154,190.0000,80210,187.6923
192.3077,207.6923,192.3077,187.6923,263510,200.0000
203.8462,219.6154,203.8462,200.0000,308490,214.6154
226.9231,226.9231,215.3846,214.6154,206700,219.6154
223.0769,230.7692,218.4615,219.6154,197340,219.2308
230.7692,230.7692,217.6923,219.2308,91260,218.4615
230.7692,230.7692,200.0000,218.4615,189670,211.9231
215.3846,215.3846,206.9231,211.9231,158470,206.9231
206.1539,209.2308,192.3077,206.9231,162240,196.1539
184.6154,206.1539,184.6154,196.1539,296660,203.8462
203.8462,215.3077,176.2308,203.8462,129349,215.3077
219.2308,233.8462,215.3846,215.3077,327210,224.6154
216.1539,224.6154,207.6923,224.6154,155870,207.6923
208.8462,211.5385,206.9231,207.6923,113879,207.6923
210.0000,210.0000,200.0769,207.6923,91910,207.2308
207.6923,207.6923,202.3077,207.2308,111279,202.3077
200.7692,203.8462,184.6154,202.3077,107379,184.6154
186.9231,192.3077,175.0000,184.6154,185068,175.0000
175.3846,195.3077,161.5385,175.0000,122199,195.3077
197.6923,197.6923,197.6923,195.3077,147030,197.6923
215.3846,217.4616,180.7692,197.6923,145730,192.3077
203.8462,203.8462,184.6154,192.3077,62269,188.4615
184.6923,190.7692,176.9231,188.4615,59279,184.6923
192.3077,196.1539,192.3077,184.6923,43810,193.8462
196.2308,200.0000,188.6154,193.8462,56419,190.7692
200.0000,200.0000,192.3077,190.7692,139880,196.1539
194.7692,200.0000,194.7692,196.1539,98540,196.8462
200.0000,206.9231,200.0000,196.8462,159640,205.3846
211.5385,215.3846,205.3846,205.3846,106080,206.9231
215.0000,215.0000,198.4615,206.9231,74360,199.3077
214.6154,214.6154,192.3077,199.3077,174720,204.6154
207.3077,215.3846,190.0000,204.6154,97110,190.0000
192.3077,192.3077,184.7692,190.0000,110629,187.4615
196.1539,200.0000,188.4615,187.4615,152360,199.9231
203.8462,203.8462,189.7692,199.9231,168220,191.5385
